# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\gamem_000\HELEN\atlas_linux_ghrd\soc_system\soc_system.csv
# Generated on: Sat Feb 02 10:51:42 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HPS_DDR3_ADDR[12],Output,,,,PIN_D24,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[11],Output,,,,PIN_B24,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[10],Output,,,,PIN_A24,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[9],Output,,,,PIN_F25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[8],Output,,,,PIN_F26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[7],Output,,,,PIN_B26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[6],Output,,,,PIN_C26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[5],Output,,,,PIN_J20,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[4],Output,,,,PIN_J21,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[3],Output,,,,PIN_D26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[2],Output,,,,PIN_E26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[1],Output,,,,PIN_B28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_ADDR[0],Output,,,,PIN_C28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[2],Output,,,,PIN_G25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[1],Output,,,,PIN_H25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_BA[0],Output,,,,PIN_A27,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CAS_N,Output,,,,PIN_A26,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CKE,Output,,,,PIN_L28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_CK_N,Output,,,,PIN_N20,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_P,,,,,,,,,
HPS_DDR3_CK_P,Output,,,,PIN_N21,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_CK_N,,,,,,,,,
HPS_DDR3_CS_N,Output,,,,PIN_L21,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_DM[3],Output,,,,PIN_AB28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[2],Output,,,,PIN_W28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[1],Output,,,,PIN_P28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DM[0],Output,,,,PIN_G28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[31],Bidir,,,,PIN_AA27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[30],Bidir,,,,PIN_Y27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[29],Bidir,,,,PIN_T24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[28],Bidir,,,,PIN_R24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[27],Bidir,,,,PIN_W26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[26],Bidir,,,,PIN_AA28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[25],Bidir,,,,PIN_R25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[24],Bidir,,,,PIN_R26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[23],Bidir,,,,PIN_V27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[22],Bidir,,,,PIN_R27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[21],Bidir,,,,PIN_N27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[20],Bidir,,,,PIN_N26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[19],Bidir,,,,PIN_U28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[18],Bidir,,,,PIN_T28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[17],Bidir,,,,PIN_N25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[16],Bidir,,,,PIN_N24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[15],Bidir,,,,PIN_N28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[14],Bidir,,,,PIN_M28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[13],Bidir,,,,PIN_M26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[12],Bidir,,,,PIN_M27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[11],Bidir,,,,PIN_J28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[10],Bidir,,,,PIN_J27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[9],Bidir,,,,PIN_L25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[8],Bidir,,,,PIN_K25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[7],Bidir,,,,PIN_F28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[6],Bidir,,,,PIN_G27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[5],Bidir,,,,PIN_K26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[4],Bidir,,,,PIN_J26,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[3],Bidir,,,,PIN_D27,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[2],Bidir,,,,PIN_E28,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[1],Bidir,,,,PIN_J24,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQ[0],Bidir,,,,PIN_J25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_DQS_N[3],Bidir,,,,PIN_T20,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[3],,,,,,,,,
HPS_DDR3_DQS_N[2],Bidir,,,,PIN_T18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[2],,,,,,,,,
HPS_DDR3_DQS_N[1],Bidir,,,,PIN_R18,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[1],,,,,,,,,
HPS_DDR3_DQS_N[0],Bidir,,,,PIN_R16,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_P[0],,,,,,,,,
HPS_DDR3_DQS_P[3],Bidir,,,,PIN_U19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[3],,,,,,,,,
HPS_DDR3_DQS_P[2],Bidir,,,,PIN_T19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[2],,,,,,,,,
HPS_DDR3_DQS_P[1],Bidir,,,,PIN_R19,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[1],,,,,,,,,
HPS_DDR3_DQS_P[0],Bidir,,,,PIN_R17,Differential 1.5-V SSTL Class I,,,,HPS_DDR3_DQS_N[0],,,,,,,,,
HPS_DDR3_ODT,Output,,,,PIN_D28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RAS_N,Output,,,,PIN_A25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RESET_N,Output,,,,PIN_V28,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_DDR3_RZQ,Input,,,,PIN_D25,SSTL-15 Class I,,,,,,,,,,,,,
HPS_DDR3_WE_N,Output,,,,PIN_E25,SSTL-15 Class I,,maximum current,,,,,,,,,,,
HPS_ENET_GTX_CLK,Output,,,,PIN_J15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_INT_N,Bidir,,,,PIN_B14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDC,Output,,,,PIN_A13,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_MDIO,Bidir,,,,PIN_E16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_CLK,Input,,,,PIN_J12,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[3],Input,,,,PIN_A9,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[2],Input,,,,PIN_C15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[1],Input,,,,PIN_A11,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DATA[0],Input,,,,PIN_A14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_RX_DV,Input,,,,PIN_J13,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[3],Output,,,,PIN_D17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[2],Output,,,,PIN_A15,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[1],Output,,,,PIN_J14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_DATA[0],Output,,,,PIN_A16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_ENET_TX_EN,Output,,,,PIN_A12,3.3-V LVTTL,,,,,,,,,,,,,
HPS_GSENSOR_INT,Bidir,,,,PIN_A17,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SCLK,Bidir,,,,PIN_C18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C0_SDAT,Bidir,,,,PIN_A19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SCLK,Bidir,,,,PIN_K18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_I2C1_SDAT,Bidir,,,,PIN_A21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_KEY,Bidir,,,,PIN_J18,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LED,Bidir,,,,PIN_A20,3.3-V LVTTL,,,,,,,,,,,,,
HPS_LTC_GPIO,Bidir,,,,PIN_H13,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CLK,Output,,,,PIN_B8,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_CMD,Bidir,,,,PIN_D14,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[3],Bidir,,,,PIN_B9,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[2],Bidir,,,,PIN_B11,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[1],Bidir,,,,PIN_B6,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SD_DATA[0],Bidir,,,,PIN_C13,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_CLK,Output,,,,PIN_C19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MISO,Input,,,,PIN_B19,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_MOSI,Output,,,,PIN_B16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_SPIM_SS,Bidir,,,,PIN_C16,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_RX,Input,,,,PIN_A22,3.3-V LVTTL,,,,,,,,,,,,,
HPS_UART_TX,Output,,,,PIN_B21,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_CLKOUT,Input,,,,PIN_G4,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[7],Bidir,,,,PIN_F4,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[6],Bidir,,,,PIN_C7,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[5],Bidir,,,,PIN_D4,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[4],Bidir,,,,PIN_C8,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[3],Bidir,,,,PIN_C4,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[2],Bidir,,,,PIN_C9,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[1],Bidir,,,,PIN_F5,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DATA[0],Bidir,,,,PIN_C10,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_DIR,Input,,,,PIN_E5,3.3-V LVTTL,,,,,,,,,,,,,
HPS_USB_NXT,Input,,,,PIN_D5,3.3-V LVTTL,,,,,,,,,,,,,
